순위,노래제목,가수
1,APT.,"로제 (ROSÉ), Bruno Mars"
2,Whiplash,aespa
3,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
4,POWER,G-DRAGON
5,HAPPY,DAY6 (데이식스)
6,UP (KARINA Solo),aespa
7,내 이름 맑음,QWER
8,Mantra,제니 (JENNIE)
9,나는 반딧불,황가람
10,내게 사랑이 뭐냐고 물어본다면,로이킴
11,Welcome to the Show,DAY6 (데이식스)
12,Supernova,aespa
13,한 페이지가 될 수 있게,DAY6 (데이식스)
14,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
15,소나기,이클립스 (ECLIPSE)
16,사랑은 늘 도망가,임영웅
17,Pump Up The Volume!,PLAVE
18,Supersonic,프로미스나인
19,천상연,이창섭
20,예뻤어,DAY6 (데이식스)
21,WAY 4 LUV,PLAVE
22,고민중독,QWER
23,number one girl,로제 (ROSÉ)
24,How Sweet,NewJeans
25,슬픈 초대장,순순희(지환)
26,달랐을까,PLAVE
27,우리들의 블루스,임영웅
28,녹아내려요,DAY6 (데이식스)
29,온기,임영웅
30,Drowning,WOODZ
31,Small girl (feat. 도경수(D.O.)),이영지
32,Love wins all,아이유
33,Home,임영웅
34,나는 아픈 건 딱 질색이니까,(여자)아이들
35,From,PLAVE
36,모래 알갱이,임영웅
37,클락션 (Klaxon),(여자)아이들
38,우리 영화,PLAVE
39,첫 만남은 계획대로 되지 않아,TWS (투어스)
40,다시 만날 수 있을까,임영웅
41,이제 나만 믿어요,임영웅
42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
43,너의 모든 순간,성시경
44,Do or Die,임영웅
45,무지개,임영웅
46,버추얼 아이돌,PLAVE
47,Magnetic,아일릿(ILLIT)
48,에피소드,이무진
49,London Boy,임영웅
50,Polaroid,임영웅
51,Sticky,KISS OF LIFE
52,Watch Me Woo!,PLAVE
53,헤어지자 말해요,박재정
54,Supernatural,NewJeans
55,주저하는 연인들을 위해,잔나비
56,Armageddon,aespa
57,인생찬가,임영웅
58,비의 랩소디,임재현
59,미안해 미워해 사랑해,Crush
60,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
61,청춘만화,이무진
62,Seven (feat. Latto) - Clean Ver.,정국
63,인사,범진
64,연애편지,임영웅
65,다정히 내 이름을 부르면,"경서예지, 전건호"
66,Igloo,KISS OF LIFE
67,Merry PLLIstmas,PLAVE
68,Ditto,NewJeans
69,Letter To Myself,태연 (TAEYEON)
70,해야 (HEYA),IVE (아이브)
71,네모네모,YENA (최예나)
72,Hype Boy,NewJeans
73,너와의 모든 지금,재쓰비 (JAESSBEE)
74,SPOT! (feat. JENNIE),지코 (ZICO)
75,Cherish (My Love),아일릿(ILLIT)
76,Congratulations,DAY6 (데이식스)
77,Bubble Gum,NewJeans
78,I AM,IVE (아이브)
79,청혼하지 않을 이유를 못 찾았어,이무진
80,사랑인가 봐,멜로망스
81,취중고백,김민석
82,To. X,태연 (TAEYEON)
83,보금자리,임영웅
84,사건의 지평선,윤하 (YOUNHA)
85,Boom Boom Bass,RIIZE
86,Dynamite,방탄소년단
87,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴 (SEVENTEEN)
88,사막에서 꽃을 피우듯,우디 (Woody)
89,Drama,aespa
90,멈추지 않아,PLAVE
91,봄날,방탄소년단
92,Love 119,RIIZE
93,별별별 (See that?),NMIXX
94,오래된 노래,"허각, 임한별, 이무진, 이진성 (먼데이 키즈), 김희재, #안녕"
95,DRIP,BABYMONSTER
96,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
97,ETA,NewJeans
98,I Don't Think That I Like Her,Charlie Puth
99,플러팅,황인욱
100,Attention,NewJeans
